year,name,n
1989,Traditional Hubs,5116
1990,Traditional Hubs,7335
1991,Traditional Hubs,6652
1992,Traditional Hubs,7154
1993,Traditional Hubs,7048
1994,Traditional Hubs,8345
1995,Traditional Hubs,8628
1996,Traditional Hubs,9423
1997,Traditional Hubs,9976
1998,Traditional Hubs,10127
1999,Traditional Hubs,12033
2000,Traditional Hubs,12653
2001,Traditional Hubs,11971
2002,Traditional Hubs,12959
2003,Traditional Hubs,14145
2004,Traditional Hubs,15722
2005,Traditional Hubs,16413
2006,Traditional Hubs,16317
2007,Traditional Hubs,18591
2008,Traditional Hubs,21899
2009,Traditional Hubs,20018
2010,Traditional Hubs,19103
2011,Traditional Hubs,21076
2012,Traditional Hubs,20442
2013,Traditional Hubs,21537
2014,Traditional Hubs,23614
2015,Traditional Hubs,23126
1989,Non-Traditional Hubs,1932
1990,Non-Traditional Hubs,2852
1991,Non-Traditional Hubs,2744
1992,Non-Traditional Hubs,3930
1993,Non-Traditional Hubs,3903
1994,Non-Traditional Hubs,3532
1995,Non-Traditional Hubs,3954
1996,Non-Traditional Hubs,4615
1997,Non-Traditional Hubs,4617
1998,Non-Traditional Hubs,4537
1999,Non-Traditional Hubs,6111
2000,Non-Traditional Hubs,7804
2001,Non-Traditional Hubs,7731
2002,Non-Traditional Hubs,8104
2003,Non-Traditional Hubs,8648
2004,Non-Traditional Hubs,10118
2005,Non-Traditional Hubs,11240
2006,Non-Traditional Hubs,13266
2007,Non-Traditional Hubs,15855
2008,Non-Traditional Hubs,19800
2009,Non-Traditional Hubs,19187
2010,Non-Traditional Hubs,20784
2011,Non-Traditional Hubs,23608
2012,Non-Traditional Hubs,24541
2013,Non-Traditional Hubs,27213
2014,Non-Traditional Hubs,31664
2015,Non-Traditional Hubs,32970
